Name,Index Members,Current Market Cap,Cash and Marketable Securities,#N/A No results found,Short and Long Term Debt,Revenue,Gross Profit,EBITDA,Net Income Available to Common,Cash From Operations,Capital Expenditures,Free Cash Flow,Operating Income or Losses,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Total Equity,Cash from Investing Activities,Cash from Financing Activities,Estimate Comparable Sales,#N/A No results found,Cash and Cash Equivalents,Cost of Revenue,Total Operating Expenses,Comparable EBIT,#N/A No results found,Depreciation & Amortization,Comparable EBITDA,Interest Expense,Interest Income,Other Non-Operating (Income) Loss,Comparable PTP Excluding Stock Based Compensation,Income Tax Expense (Benefit),Estimate Comparable Net Income GAAP,#N/A No results found,#N/A No results found,EBIT,Pre-Tax Income,Estimate Comparable Net Income Adjusted,Preferred Equity and Hybrid Capital,Minority/Non Controlling Interest,Total Capital
PNC Financial Services Group I,PNC UN,66237.08307,46826,7279,54633,21608,#VALUE!,#VALUE!,5562,8531,0,8531,7269,#VALUE!,559477,#VALUE!,512754,46723,-19730,8904,20506,8531,6548,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1145,#VALUE!,#VALUE!,10928,0,7255,1384,5548,-19730,8904,#VALUE!,7269,5888,7244,35,101356
Pentair PLC,PNR UN,7711.683011,118.8,0,2531,4107.5,1368,725.5,534.6,343.6,-84.8,258.8,634.4,1562.5,6508.6,1100.5,3869.4,2639.2,-1920.2,1522.2,4107.5,261.7,118.8,2739.5,#VALUE!,736.7,33.5,91.1,827,#VALUE!,#VALUE!,-1.7,627.2,65.4,535.5,-1920.2,1505.1,634.4,600.9,561.7,0,0,5170.2
Pinnacle West Capital Corp,PNW UN,8855.483309,7.032,117.55,8609.844,4113.928,2682.864,1555.714,535.178,1231.415,-1749.367,-517.952,745.177,2016.557,22844.598,2060.904,16482.485,6362.113,-1646.512,396.441,4113.928,-517.952,7.032,1431.064,3368.751,745.177,113.185,799.758,1106.456,246.576,6.607,-84.63,631.992,79.59,539.484,-1646.512,396.441,745.177,631.992,535.178,0,117.55,14971.957
Pool Corp,POOL UW,12983.9396,49.079,0,1772.512,6119.364,1940.056,1084.009,784.208,261.895,-41.4,220.495,1046.379,2199.479,3688.055,737.26,2497.177,1190.878,-842.018,545.727,6119.364,220.495,49.079,4179.308,#VALUE!,1046.379,27.205,37.63,1096.526,#VALUE!,#VALUE!,0,1019.174,235.259,784.208,-842.018,545.492,1046.379,1019.174,781.01076,0,0,2963.39
PPG Industries Inc,PPG UN,32330.36774,1089,110,7601,17657,6492,2165,1074,832,-519,313,1595,7490,20868,4926,14724,6660,-374,-645,17657,313,1029,11165,#VALUE!,1935,251,570,2497,144,41,148,1824,256,1057,-374,-569,1595,1344,1448,0,110,14261
PPL Corp,PPL UN,21522.5831,303,3,13751,7097,4889,2529,700,1810,-2028,-218,1346,2720,37378,3315,23494,13884,-5700,-567,7097,-218,303,2208,5751,1726,443,1183,2738,469,5,2,1276,195,700,-5700,-575,1346,903,995,0,3,27635
Prudential Financial Inc,PRU UN,39659.35876,20104,678,28888,61831,#VALUE!,#VALUE!,309,9113,0,9113,1861,#VALUE!,677756,#VALUE!,660576,17180,-10201,4088,60838,9113,20104,#VALUE!,59938,#VALUE!,#VALUE!,179,#VALUE!,1339,#VALUE!,197,5049,-36,328,-10201,4591,1861,325,3912,0,678,46068
Public Storage,PSA UN,52115.4227,883.787,4443.585,6740.451,4017.937,#VALUE!,2884.173,4337.724,3109.625,-3482.147,-372.522,2017.276,#VALUE!,17450.92,#VALUE!,7330.163,10120.757,-819.944,-2362.353,4017.937,-372.522,883.787,#VALUE!,#VALUE!,1951.556,-2556.083,866.897,2784.577,129.972,0,-2435.215,#VALUE!,0,4393.545,-3924.92,-2362.545,2017.276,4573.359,2265.0298,4350,93.585,16861.208
Phillips 66,PSX UN,50642.54234,3744,5076,17657,162315,16121,12626,10408,7863,-2078,5785,10975,23270,77339,17882,44030,33309,-1813,-5203,168391,5785,3744,146194,#VALUE!,#VALUE!,-2744,1651,12405,567,34,-116,9935,2969,10413,-1813,-5124,10975,13719,8275,0,5076,50966
PTC Inc,PTC UW,14907.19305,272.182,0,1540.203,1933.347,1547.367,564.802,313.081,435.326,-19.496,415.83,447.362,1068.657,4687.268,792.258,2391.234,2296.034,-201.201,-288.284,1933.347,415.8,272.182,385.98,1100.005,732.192,50.264,87.694,819.886,54.268,2.5,-1.504,680.566,84.017,313.081,-201.201,-264.081,447.362,397.098,541.484,0,0,3836.237
Quanta Services Inc,PWR UN,22002.49116,215.395,5.515,4161.629,16580.823,2459.573,1482.341,433.414,797.136,-490.325,306.811,708.377,5347.823,13296.646,3346.221,8095.078,5201.568,-2958.646,680.752,16580.823,364.499,215.395,14121.25,#VALUE!,849.779,129.218,678.26,1625.766,112.989,0.823,99.994,643.597,135.36,433.414,-2958.646,682.329,708.377,579.159,920.988,0,5.515,9363.197
Pioneer Natural Resources Co,PXD UN,57045.07894,1688,0,5588,23284,9512,11721,7110,10974,-3930,7044,9174,4283,35746,4170,12797,22949,-745,-9534,16288,7044,1316,13772,#VALUE!,9264,100,2547,11811,140,15,-25,9052,1947,7125,-745,-9534,9174,9074,7417,0,0,28537
PayPal Holdings Inc,PYPL UW,85775.68412,10849,0,10959,27053,#VALUE!,5121,2299,6419,-761,5658,3643,55105,76435,43228,56171,20264,-6415,-3249,27053,6709,6659,#VALUE!,23410,5684,681,1317,6768,274,104,511,5692,663,2299,-6415,-3000,3643,2962,4684,0,0,31223
QUALCOMM Inc,QCOM UW,140707.9162,6382,0,16159,44200,25565,17829,12936,9096,-2262,6834,15860,20724,49014,11866,31001,18013,-5804,-7309,44169,6834,2773,18635,28340,17067,862,1762,18829,490,0,-7,16598,2012,12936,-5804,-7196,15860,14998,14254,0,0,34172
Qorvo Inc,QRVO UW,9800.306831,911.57,0,2047.398,4473.53,2032.609,1282.637,686.037,1003.269,-191.36,811.909,930.028,2521.284,7374.732,764.127,3052.592,4322.14,-412.641,-832.136,4473.53,582.3,911.57,2440.921,1698.4,1371.07,72.928,352.609,#VALUE!,66.876,0,6.052,1081.641,171.063,686.037,-412.641,-825.705,930.028,857.1,1084.9668,0,0,6369.538
Royal Caribbean Cruises Ltd,RCL UN,15481.89238,1566.213,0,23942.52,7218.795,6167.259,-294.647,-3012.724,-299.787,-3118.708,-3418.495,-1811.172,2837.046,33464.19,9793.994,30258.766,3205.424,-3455.456,2032.13,7218.795,-3418.495,1566.213,1051.536,#VALUE!,-1390.9061,1232.886,1379.46,-366.176,1216.319,25.221,26.911,-691.159,0,-3012.724,-3455.456,2034.918,-1811.172,-3044.058,-2846.359,0,0,27147.944
Everest Re Group Ltd,RE UN,13093.26242,1679,0,3084,11924.321,#VALUE!,#VALUE!,532.088,3722.801,0,3722.801,616.874,#VALUE!,38144,#VALUE!,30495,7649,-3963.249,850.868,12095.634,3722.801,1679,#VALUE!,11404.287,#VALUE!,#VALUE!,#VALUE!,#VALUE!,96.84,#VALUE!,0,306355.973,-12.054,532.088,-3963.249,795.277,616.874,520.034,945.909,0,0,10733
Regency Centers Corp,REG UW,11319.60142,154.984,72.561,3934.732,1206.429,#VALUE!,820.365,455.461,#VALUE!,#VALUE!,#VALUE!,470.146,#VALUE!,10792.563,#VALUE!,4682.631,6109.932,#VALUE!,#VALUE!,1210.717,#VALUE!,154.984,#VALUE!,#VALUE!,#VALUE!,#VALUE!,313.858,857.744,146.227,#VALUE!,#VALUE!,#VALUE!,0,455.502,#VALUE!,#VALUE!,470.146,460.633,427.126,0,72.561,10044.664
Regeneron Pharmaceuticals Inc,REGN UW,83559.90835,12990.3,0,2701.1,13710.2,11707.8,6547.6,5370.3,5667.5,-592.8,5074.7,6231.8,15428.6,27677.8,2879.2,6239,21438.8,-3939.6,-1668,13710.2,5074.7,3491.3,2002.4,7478.4,6748,194.3,315.8,#VALUE!,56.1,0,138.2,7214.9,667.2,5370.3,-3939.6,-1668,6231.8,6037.5,#VALUE!,0,0,24139.9
Regions Financial Corp,RF UN,21604.38319,15666,1659,2274,7124,#VALUE!,#VALUE!,1974,2587,-99,2488,2619,#VALUE!,157798,#VALUE!,145229,15173,-13585,-843,6870,2488,2117,#VALUE!,#VALUE!,#VALUE!,#VALUE!,362,#VALUE!,#VALUE!,3973,0,2989,547,1924,-13585,-843,#VALUE!,2619,1925,1659,0,17447
Robert Half International Inc,RHI UN,8443.356038,593.348,0,232.01,7281.033,3119.12,1049.827,678.21,626.347,-60.451,565.896,912.717,2249.85,2910.585,1234.249,1419.668,1490.917,-110.011,-556.707,7281.033,565.896,593.348,4161.913,#VALUE!,913.134,-3.282,48.21,949.12,#VALUE!,#VALUE!,0,915.999,237.789,678.21,-110.011,-518.431,912.717,915.999,678.21,0,0,1722.927
Raymond James Financial Inc,RJF UN,25678.59297,6882,94,5113,11308,#VALUE!,2590,1505,72,-91,-19,2022,#VALUE!,80951,#VALUE!,71519,9432,-7151,5289,11003,-19,6178,#VALUE!,8981,#VALUE!,#VALUE!,145,#VALUE!,#VALUE!,1508,0,2169,513,1509,-7151,5879,2327,2022,1615,120,-26,14545
Ralph Lauren Corp,RL UN,7593.103932,1416.7,0,2761.8,6408.6,4188.7,932.5,516,253.6,-187.4,66.2,707.8,3440.6,6733.6,1709.6,4478,2255.6,152.6,-1688.7,6408.6,66.2,1107.1,2219.9,3480.9,729.9,39,224.7,684.6,48.4,12.7,3.3,690.9,152.8,516,152.6,-1590.8,707.8,668.8,542.5,0,0,5017.4
ResMed Inc,RMD UN,34186.35495,207.163,0,930.632,3624.405,2058.831,1170.891,786.302,461.466,-136.551,324.915,1014.111,2033.697,5177.56,692.659,1744.673,3432.887,-246.85,-283.602,3624.405,324.915,207.163,1565.574,1044.72,1363.708,50.624,156.78,1247.625,24.086,0,11.272,963.487,177.185,786.302,-246.85,-263.213,1014.111,963.487,850.833,0,0,4363.519
Rockwell Automation Inc,ROK UN,30440.59065,503.3,291.1,4183,7760.4,3102,1677.8,929.3,823.1,-141.1,682,1335.3,3610.7,10758.7,3572.2,7742,3016.7,-7.8,-986.8,7760.4,682,490.7,4658.4,#VALUE!,1542.6,261.7,238.9,1781.5,123.2,4.4,142.9,1215.2,154.5,932.2,-7.8,-934.2,1335.3,1073.6,1110.7,0,291.1,7199.7
Rollins Inc,ROL UN,19969.7569,121.876,0,399.054,2634.776,1356.731,652.615,345.703,445.431,-30.084,415.347,459.7,398.956,2112.483,509.769,915.932,1196.551,-233.447,-207.763,2634.776,415.347,121.876,1278.045,2175.076,466.951,-5.461,97.14,564.091,#VALUE!,#VALUE!,-7.251,465.161,119.458,345.703,-233.447,-201.756,459.7,465.161,350.703,0,0,1595.605
Roper Technologies Inc,ROP UN,47230.2829,1894.5,0,6659.5,5700,3901.4,2121.3,2904.1,1242.4,-69.7,1172.7,1497.8,3991.4,24397.2,2840.4,10539.4,13857.8,2257.1,-1957.5,5700.3,1485,1894.5,1798.6,#VALUE!,1595,194.1,623.5,2223,194.5,0,-0.4,1303.7,314.3,2566.200288,2257.1,-1885.7,1497.8,1303.7,1350.859,0,0,20517.3
Ross Stores Inc,ROST UW,41425.41638,3906.49,0,5708.518,18502.247,4708.584,2311.881,1431.82,707.863,-597.825,110.038,1922.791,6761.189,13100.095,3464.23,8953.095,8207.05,-597.825,-1462.846,18502.247,110.038,3906.49,13793.663,16622.845,1904.963,43.389,389.09,2501.062,#VALUE!,#VALUE!,0,1770.56,447.582,1431.82,-597.825,-1462.846,1922.791,1879.402,1431.82,0,0,13915.568
Republic Services Inc,RSG UN,44357.04984,81.4,0.6,11941.7,12933.1,5104.1,3704.6,1453.9,3032.3,-1336.9,1695.4,2316.1,2199.4,28401,3163.8,18910.5,9490.5,-4381.4,1374,12933.1,1824.1,81.4,7829,#VALUE!,2398.5,581.1,1388.5,3794.5,362.4,2.6,7.6,1824.8,281.3,1453.9,-4381.4,1377.1,2316.1,1735,1530,0,0.6,21432.2
Raytheon Technologies Corp,RTX UN,148182.1306,5381,1581,34986,66025,13529,9437,4461,5657,-2387,3270,5233,41821,158225,38373,86457,71768,-3116,-4608,66025,3829,5381,52496,60992,7627,-11,4204,11013,1332,66,-1277,8170,614,4554,-3116,-4540,5233,5244,6844,0,1581,106754
SBA Communications Corp,SBAC UW,32019.3404,201.211,40.615,14632.618,2542.622,1906.2,1582.556,407.05,1295.632,-191.635,1103.997,888.12,529.813,9942.38,1331.745,15266.595,-5324.215,-736.749,-533.408,2542.622,1103.997,201.211,636.422,1654.502,888.12,442.756,694.436,1717.36,402.5,8.201,48.457,509.388,39.243,407.05,-736.749,-535.416,888.12,445.364,457.458,0,40.615,9308.403
Signature Bank/New York NY,SBNY UW,8569.442794,11469.921,730,2462.298,3148.678,#VALUE!,#VALUE!,1271.694,1285.385,-47.362,1238.023,1726.127,#VALUE!,114468.746,#VALUE!,106778.223,7690.523,-25165.973,6514.852,2581.839,1238.023,11324.426,#VALUE!,#VALUE!,#VALUE!,#VALUE!,23.337,#VALUE!,#VALUE!,2413.207,0,1726.127,417.933,1289.953,-25165.973,6514.852,#VALUE!,1726.127,1289.953,730,0,10152.821
Starbucks Corp,SBUX UW,121012.5544,3182.9,7.9,23804.8,32250.3,8371.1,7702,3281.6,4397.3,-1841.3,2556,4617.8,7018.7,27978.4,9151.8,36677.1,-8698.7,-2146.3,-5888.3,32250.3,2556,2818.4,23879.2,27866.6,4855,385.9,1529.4,6302.9,482.9,0,-97,4231.9,948.5,3281.6,-2146.3,-5638,4617.8,4231.9,3281.6,0,7.9,15106.1
Charles Schwab Corp/The,SCHW UN,153949.9983,46486,10450,21344,20834,#VALUE!,10909,6263,9803,-1082,8721,8813,#VALUE!,577563,#VALUE!,540522,37041,-1185,-3473,19973,8721,46486,#VALUE!,#VALUE!,9063,#VALUE!,1235,9434,#VALUE!,10656,0,8813,2018,6540,-42201,-3473,9674,8813,7427,10450,0,58385
SolarEdge Technologies Inc,SEDG UW,17477.20911,1569.68,0,730.935,2771.492,744.092,260.189,113.904,9.561,-180.201,-170.64,212.321,2451.773,3903.546,694.48,1851.419,2052.127,-466.766,608.946,2771.492,-170.64,678.329,2027.4,531.771,212.321,51.576,47.868,365.775,#VALUE!,#VALUE!,-2.084,160.745,46.841,113.904,-466.766,651.389,212.321,160.745,#VALUE!,0,0,2783.062
Sealed Air Corp,SEE UN,7752.196626,248.8,0,3721.8,5767.5,1824.3,1229.8,578.2,653,-241.8,411.2,1017,2031.2,6075.1,1877,5856.9,218.2,-155.2,-643.2,5767.1,411.2,248.8,3943.2,#VALUE!,996.5,219.9,188.3,1243,162.2,2.7,57.5,842.2,231.5,565.6,-155.2,-615.6,1017,797.1,617.3,0,0,3940
Sherwin-Williams Co/The,SHW UN,67242.53643,130.5,0,12445.2,21680.5,8971,3350.9,1937.8,1472.8,-1136.1,336.7,2778.7,6117.2,22245.8,6096,19648,2597.8,-1300.2,-355.4,21680.5,336.7,130.5,12709.5,#VALUE!,2754.5,391.6,572.2,3326.7,367.4,3.9,0.9,2268.3,449.3,1937.8,-1300.2,-359.9,2778.7,2387.1,1825.291,0,0,15043
SVB Financial Group,SIVB UW,13289.56264,13968,3947,17349,6691,#VALUE!,#VALUE!,1605,2527,-177,2350,2343,#VALUE!,212867,#VALUE!,197057,15810,-29440,21974,6202,2350,13968,#VALUE!,#VALUE!,#VALUE!,#VALUE!,200,#VALUE!,#VALUE!,2744,0,2343,631,1605,-29440,21974,#VALUE!,2343,1605,3646,301,33159
J M Smucker Co/The,SJM UN,16479.99204,27.1,0,4713.9,8169,2603.4,1420.1,572.1,999.4,-480.7,518.7,925.7,2250.9,16219.3,2059.7,8002,8217.3,-421.8,-705.8,8169,518.7,27.1,5565.6,#VALUE!,1378.4,161.9,452.7,1527,156.3,0,-4.7,1167.6,191.1,572.7,-421.8,-704.5,925.7,763.8,926.9,0,0,12931.2
Schlumberger Ltd,SLB UN,74529.75476,3609,312,13351,26437,4678,5822,2977,4038,-1493,2545,3692,15611,44093,11134,26582,17511,-1642,-1756,26475,1861,2180,21759,#VALUE!,3928,13,2130,5921,506,40,-354,3402,659,2977,-1642,-1758,3692,3679,2697,0,312,30862
Snap-on Inc,SNA UN,13035.64396,759.3,22.3,1259.7,4793.5,2423.1,1299.9,896.5,687.3,-77.8,609.5,1194.7,3269.6,6835.5,993.5,2496,4339.5,-162.1,-501.4,4532.9,609.5,759.3,2370.4,#VALUE!,1063,10.6,105.2,1157.7,46.4,7.6,-30.6,1133.6,265.6,896.5,-162.1,-493.3,1194.7,1184.1,896.5,0,22.3,5599.2
Synopsys Inc,SNPS UW,53112.59225,1565.521,43.465,656.371,5081.542,4017.845,1463.469,984.594,1738.9,-136.589,1602.311,1162.038,3012.669,9418.087,2774.499,3858.897,5559.19,-572.623,-1181.596,5082,1602.311,1417.608,1063.697,2855.807,1675.1,46.524,301.431,1903.505,#VALUE!,#VALUE!,46.524,1578.438,137.078,984.594,-572.623,-1116.3,1162.038,1115.514,1392.825,0,43.465,6215.561
Southern Co/The,SO UN,73202.35863,2009,4479,56650,27999,17225,9167,3396,6105,-8203,-2098,4901,10363,134005,12801,98287,35718,-7455,1262,27999,-2098,2009,10774,23098,#VALUE!,1009,4113,7676,1946,#VALUE!,-724,#VALUE!,608,3396,-7455,1262,4901,3892,3943,242,4237,92368
Simon Property Group Inc,SPG UN,39201.76004,601.52,1054.883,25140.567,5217.688,#VALUE!,3819.761,1965.652,3719.393,-573.845,3145.548,2490.881,#VALUE!,32795.363,#VALUE!,28758.802,4036.561,-417.99,-3138.306,5217.688,3145.548,601.52,#VALUE!,#VALUE!,2490.881,157.514,1296.546,3720.935,753.857,0,58.699,#VALUE!,80,2118.95,#VALUE!,-3138.306,2490.881,2333.367,2118.95,39.847,1015.036,29177.128
S&P Global Inc,SPGI UN,117851.6376,1387,3232,11496,10331,6985,6044,3490,2430,-63,2367,5131,4178,61813,5048,21414,40399,3611,-10559,10331,1989,1387,3346,7124,5144,160,779,6543,243,0,-83,4960,1206,3490,3611,-10369,5131,4971,3612,0,3232,51895
Sempra Energy,SRE UN,52317.64571,685,3047,26585,14828,10416,4846,2260,2316,-4949,-2633,2867,4465,75563,7836,46274,29289,-5235,2798,14828,-2633,685,4412,11961,2411,1138,1979,5302,1218,77,-3,1792,579,2260,-5235,2799,2867,1729,2860,909,2239,55874
STERIS PLC,STE UN,19228.89592,258.259,11.39,3202.355,4776.665,2159.869,688.277,-8.139,602.795,-352.895,249.9,146.771,1888.299,10489.636,872.815,4676.189,5813.447,-193.566,-683.284,4775.694,401.397,258.259,2616.796,2013.098,1126.11,91.009,541.506,#VALUE!,93.541,3.826,1.294,#VALUE!,65.091,#VALUE!,-193.566,-650.235,146.771,55.762,809.069,0,11.39,9015.802
State Street Corp,STT UN,28580.96783,103255,2000,18358,12618,#VALUE!,#VALUE!,2626,9145,-785,8360,3168,#VALUE!,303568,#VALUE!,277920,25648,6217,-17220,12046,8360,2748,#VALUE!,#VALUE!,#VALUE!,#VALUE!,241,#VALUE!,#VALUE!,1384,0,3168,430,2682,6217,-17220,#VALUE!,3168,2726,2000,0,44006
Seagate Technology Holdings PL,STX UW,10919.37113,761,0,6249,10581,2995,1958,1152,1406,-397,1009,1476,3740,8611,3138,8962,-351,-365,-1271,10581,1009,761,7586,9105,1656,303,482,2350,261,3,45,#VALUE!,21,#VALUE!,-365,-1271,1476,1173,#VALUE!,0,0,5898
Constellation Brands Inc,STZ UN,48111.12765,165.1,321.9,10950.2,9441.4,4939.2,3510.5,104.5,2833.8,-1108.4,1725.4,3146.9,3530.2,24280.9,2511.9,14570,9710.9,-1144.7,-1627.4,9441.9,1725.4,165.1,4502.2,#VALUE!,3157.9,2552.5,363.6,3611.5,356.7,0,23.3,2642.6,449.4,1844.4,-1144.7,-1621.7,3146.9,594.4,2136.3,0,321.9,20661.1
Stanley Black & Decker Inc,SWK UN,12191.88313,408.7,752.1,8332.4,17028.9,4683.1,1204.7,1437.1,-1738.7,-596.5,-2335.2,594.7,8804.6,25523.9,7607,15975.2,9548.7,1474,391.5,17028.9,-2335.2,408.7,12345.8,#VALUE!,1539.9,243.7,571.6,2045.1,268.4,24.7,0,822.8,-208.4,583.1,1474,476.2,594.7,351,1091.9,750,2.1,17881.1
Skyworks Solutions Inc,SWKS UW,14986.27071,586.8,0,2414.5,5485.5,2604.3,2260.7,1275.2,1424.6,-489.4,935.2,1527,3229.9,8873.8,1226.9,3404.8,5469,-378.9,-1362.6,5485.5,935.2,566,2881.2,1077.3,2045,50.4,690.1,2735.1,47.9,#VALUE!,2.5,1476.6,201.4,1275.2,-378.9,-1362.6,1527,1476.6,1834.6,0,0,7883.5
Synchrony Financial,SYF UN,15985.20966,11962,750,14321,17008,#VALUE!,10388,3199,6851,0,6851,4268,#VALUE!,100766,#VALUE!,87754,13012,-9140,6549,11267,6851,11962,#VALUE!,#VALUE!,#VALUE!,#VALUE!,423,#VALUE!,#VALUE!,16347,0,4268,1016,3220,-9140,-358,9965,4268,3231,750,0,27333
Stryker Corp,SYK UN,92151.46993,1497,0,13224,17948,11387,3966,2457,2621,-606,2015,2846,9318,35983,4571,19520,16463,-3076,-688,17948,2015,1420,6561,8541,4283,167,983,5470,#VALUE!,#VALUE!,167,3420,222,2457,-3076,-591,2846,2679,3456,0,0,29687
Sysco Corp,SYY UN,43201.93159,437.67,31.208,11542.048,71306.43,12837.671,3217.025,1446.323,1839.08,-715.043,1124.037,2441.686,10767.267,22210.943,8959.264,21064.394,1146.549,-1264.436,-2183.439,71306.43,1165.002,437.67,58468.759,10395.985,2718.176,606.731,775.339,3343.4,619.579,0,-12.848,1866.076,388.632,1446.334,-1264.436,-2149.519,2441.686,1834.955,1735.776,0,31.208,12688.597
AT&T Inc,T UN,135484.2716,2423,17572,155960,138749,76855,45189,19836,32964,-19574,13390,21917,32295,426463,52257,286485,139978,-26738,-25137,138791,12586,2423,61894,116832,25816,-4650,19099,43983,6307,#VALUE!,-9113,26323.96,4916,20155.13,-26738,-25137,21917,26567,21076.96,0,17572,295938
Molson Coors Beverage Co,TAP UN,12182.29662,525.2,226.2,6717.8,10690.7,3588.8,1531.5,495.2,1423.3,-689.9,733.4,834,2749.4,26708.5,3591.2,13312,13396.5,-661.7,-852.7,10690.7,1957.5,525.2,7101.9,#VALUE!,1226.3,222.9,697.5,1937.7,#VALUE!,#VALUE!,-27.5,885.7,125.4,495.2,-661.7,-795.4,834,611.1,786.9,0,226.2,20114.3
TransDigm Group Inc,TDG UN,33710.07573,3001,7,20030,5429,3099,2492,780,948,-119,829,2215,5649,18107,1426,21873,-3766,-553,-2181,5429,829,3001,2330,#VALUE!,2405,1088,253,2646,#VALUE!,#VALUE!,12,1178,261,866,-553,-2148,2215,1127,938,0,7,16264
Teledyne Technologies Inc,TDY UN,19995.20856,479.3,3.1,4053.2,5416.1,2259.5,1323.3,724,544.7,-93.8,450.9,893.3,2519.4,13826.4,1418.5,6134.8,7691.6,-97.8,-519.4,5416.1,748.6,479.3,3156.6,4522.8,1093.5,65,384.4,1303.4,#VALUE!,#VALUE!,-25.3,879.6,104.4,724,-97.8,-455.4,893.3,828.3,849.1,0,3.1,11744.8
Bio-Techne Corp,TECH UW,13417.75646,203.075,0,341.532,1117.536,765.095,407.161,291.998,332.919,-48.394,284.525,289.685,552.031,2350.721,137.629,599.567,1751.154,-109.419,-254.564,1117.536,284.525,165.257,352.441,475.41,356.154,-48.035,102.976,518.118,11.69,1.034,-58.691,349.898,53.867,291.991,-109.419,-234.975,289.685,337.72,344.022,0,0,2092.686
TE Connectivity Ltd,TEL UN,39996.42996,1088,95,4640,16281,5244,3672,2428,2468,-768,1700,2756,7268,20782,4632,9885,10897,-878,-1705,16281,1783,1088,11037,#VALUE!,2966,23,785,3654,66,15,-28,2733,306,2427,-878,-1684,2756,2733,2381,0,95,15537
Teradyne Inc,TER UW,14429.24927,887.095,0,133.742,3308.256,1973.75,1042.695,773.484,725.804,-157.982,567.822,929.788,2127.554,3319.906,701.941,1065.781,2254.125,9.724,-1104.236,3308.49,567.822,710.746,1334.506,1043.962,973.9,21.46,112.907,1033.169,5.17,3.533,19.823,943.898,134.844,773.497,9.724,-1110.078,929.788,908.328,800.6,0,0,2387.867
Truist Financial Corp,TFC UN,59731.01889,24793,6696,58336,23625,#VALUE!,#VALUE!,5841,12354,-128,12226,7619,#VALUE!,548438,#VALUE!,487627,60811,-31343,21387,22509,12226,5031,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1344,#VALUE!,#VALUE!,12759,0,8067,1432,5851,-31343,21387,#VALUE!,7619,6752,6673,23,119147
Teleflex Inc,TFX UN,11394.0423,397.259,0,1807.485,2794.959,1528.753,755.868,412.629,445.411,-73.167,372.244,526.204,1459.382,6758.087,610.943,2862.926,3895.161,-68.197,-461.122,2794.959,372.244,397.259,1266.206,#VALUE!,834.855,46.424,229.664,1064.459,47.223,0.799,0,651.977,67.514,412.656,-68.197,-415.78,526.204,479.78,412.841,0,0,5702.646
Target Corp,TGT UN,75794.66078,954,0,19323,108721,27677,7829,3448,3580,-5384,-1804,4784,20393,55615,23783,44596,11019,-5367,-3012,107221,-1804,954,81044,#VALUE!,4819,392,2694,7538,453,0,-61,4412,944,3448,-5367,-3012,4784,4392,3463,0,0,30342
TJX Cos Inc/The,TJX UN,92931.42471,3364.678,0,12623.372,49270.136,13758.302,5466.862,3399.823,2169.804,-1429,740.804,4590.389,12988.793,28428.45,11233.629,22763.767,5664.683,-1441.001,-4155.721,49270.136,740.804,3364.678,35511.834,#VALUE!,4590.389,50.418,876.473,5466.489,84.654,34.236,0,4539.971,1140.148,3399.823,-1441.001,-4026.72,4590.389,4539.971,3341.20965,0,0,18288.055
Thermo Fisher Scientific Inc,TMO UN,220586.47,2919,178,29160,44167,19765,12286,7032,8124,-2524,5600,9070,19299,90536,11118,46809,43727,-20326,3088,44167,5860,2919,24402,35097,11586,1151,3216,13856,618,133,665,9108,732,7037,-20326,3266,9070,7919,9639,0,178,72887
T-Mobile US Inc,TMUS UW,189298.0439,6888,0,114164,80083,42096,24351,1535,20091,-13516,6575,4859,21427,213499,26362,143349,70150,-16764,-481,80083,8233,6888,37987,75224,9427,3411,14261,27295,3376,13,48,2871,-87,1535,-12118,-481,4859,1448,3203,0,0,184314
Tapestry Inc,TPR UN,9426.405838,557.1,0,3237.6,6710.1,4636.3,1630,824.7,661,-87.8,573.2,1135.1,2387.4,7080,1308.4,4824.6,2255.4,321.6,-1708.7,6710.1,573.2,526.5,2073.8,#VALUE!,1165.8,128.6,188.3,#VALUE!,#VALUE!,#VALUE!,78.6,1006.5,181.8,824.7,321.6,-1658.1,1135.1,1006.5,896.7,0,0,5493
Targa Resources Corp,TRGP UN,17005.31969,192.9,3546.9,11257.5,21816.6,2703.3,2081.8,243.5,2347.4,-1210.5,1136.9,1086.2,2497.3,19389.9,3393.7,14658.5,4731.4,-3821.2,1438.1,21816.6,1168.4,192.9,19113.3,#VALUE!,1645.5,86.6,995.6,2631.4,#VALUE!,#VALUE!,-371.8,1129.2,113.3,489,-3821.2,1438.1,1086.2,999.6,247.2,1200,2346.9,15988.9
Trimble Inc,TRMB UW,15076.16762,308.7,0,1692.1,3745.8,2114,713.9,479.4,440.4,-51.3,389.1,542,1435.3,7077.7,1445,3232.9,3844.8,-406.7,-238.2,3745.8,389.1,308.7,1631.8,1572,858.2,-54.1,171.9,931.8,62.9,0,-87.3,770.5,116.7,479.4,-406.7,-199.5,542,596.1,#VALUE!,0,0,5536.9
